id;mpn;name;theme;subtheme;piece_count;retail_price;year_released;retirement_status;weight_kg;dimensions;notes;created_at;updated_at;release_date;retired_year;retired_date;grade_1_value;grade_2_value;grade_3_value;grade_4_value;grade_5_value;prediction_2yr;prediction_5yr;minifig_value;length_cm;width_cm;height_cm;designer;product_hook;description;call_to_action;highlights;seo_title;seo_description;user_id;brand;type;last_valued_at;upc;ean;minifigs_count;availability;age_range;color;character_ip;features;material;grade_1_value_used_low;grade_1_value_used_high;rolling_growth_1yr;rolling_growth_12m
1d1ca532-7c59-44c6-bfc0-af5d8061f11b;A1143;Apple AirPort Extreme Wireless Router (A1143);;;;;;active;;;;2026-03-07 19:57:13.952019+00;2026-03-08 09:18:06.159692+00;;;;;;;;;;;;;;;;"Wireless glass, white plastic, and zero apologies.
The monolith that defined the golden age of networking.";"Before the world went soft on minimalism, Apple was perfecting the art of the glowing white monolithic. The AirPort Extreme A1143 isn't just a router; it's a silent monument to the era when Wi-Fi felt like black magic. It sits on your desk with the quiet confidence of a device that knows it looks better than your current plastic eyesore. Wrapped in that iconic polycarbonate shell, it delivers dual-band performance that reminds you why you fell for the ecosystem in the first place. Whether you’re building a period-accurate workstation or just want a piece of networking history that doesn’t look like a dead spider, this base station commands respect. It’s functional art for the collector who demands that even their signal strength comes with a pedigree. Fix your aesthetic standards before the signal drops.";Secure your network with vintage Apple style.;"• Simultaneous dual-band support for legacy devices
• Classic Apple industrial design in high-gloss white
• Gigabit Ethernet ports for uncompromising speed";Apple AirPort Extreme A1143 Wireless Router | Kuso Oishii Vintage Tech;Shop the Apple AirPort Extreme A1143 wireless router at Kuso Oishii. Own a piece of iconic Apple industrial design. Perfect for collectors and vintage tech enthusiasts looking for reliable, dual-band performance in a classic polycarbonate chassis. Limited stock available for those who value aesthetic networking.;464736d3-8ea2-45a9-9f90-95938d172080;;;;;;;;;;;;;;;;
3f160690-ad22-46d1-82e1-7b50784804d1;212326-1;Batman with Mini-Jet (212326-1.1);;;;;;active;;;;2026-03-07 19:57:18.054713+00;2026-03-08 09:18:28.525188+00;;;;;;;;;;;;;;;;Because nothing says 'I control the night' like a billionaire in a flying tactical sled.;"Stop pretending you aren't a sucker for a cape and a cowl. This isn't just another shelf-filler; it is a clinical exercise in Gotham’s brand of high-altitude intimidation. The Mini-Jet is lean, mean, and built for the collector who knows that real power doesn't need a thousand pieces to make a statement. You get a Batman who looks ready to drop into a crime alley or a display case with equal lethality. Its compact footprint means you can tuck this bit of airborne justice into the tightest spots of your collection without sacrificing an ounce of gloom. It’s sharp, it’s black, and it’s exactly the kind of brooding hardware your desk deserves when the world gets a little too loud. Own the shadows, or someone else will.";Secure the Dark Knight for your shelf today.;"• Compact Mini-Jet design perfect for desktop display
• Includes iconic Batman minifigure in tactical attire
• Genuine LEGO DC Super Heroes series item
• Sleek aerodynamic build for rapid urban intervention";LEGO Batman with Mini-Jet (212326-1) - DC Super Heroes | Kuso Oishii;Enhance your collection with the LEGO 212326-1 Batman with Mini-Jet. A compact, high-impact DC Super Heroes set featuring the Dark Knight and a sleek aeronautical build. Perfect for adult collectors seeking minimalist Gotham style. Authentic LEGO Batman minifigure included. Shop this active set at Kuso Oishii for sharp wit and brutal clarity in collector items.;464736d3-8ea2-45a9-9f90-95938d172080;;;;;;;;;;;;;;;;
db53282d-3e62-4ae8-b459-92f1af21e4f3;col069;Cave Woman (col069);;;;;;active;;;;2026-03-07 19:57:21.487711+00;2026-03-08 09:18:43.982491+00;;;;;;;;;;;;;;;;Evolution is for the weak. Survival belongs to the Cave Woman.;"Stop pretending your collection is complete without a bit of Cenozoic chaos. The Cave Woman isn't here to play nice; she’s here to remind your modern minifigures that civilisation is a fragile concept. Forget the sleek suits and tech-heavy sets of today and return to an era where survival was the only metric that mattered. This is primal energy captured in plastic, a masterclass in character design that brings a rugged, untamed aesthetic to your display. She commands attention without saying a word, standing as a defiant tribute to the dawn of humanity. Whether she's defending your dioramas or simply looking down her nose at your more refined shelf-warmers, she brings an undeniable edge to your lineup. Don't let your display go soft; settle the score with a legacy that predates the wheel.";Add this prehistoric powerhouse to your shelf.;"• Features iconic leopard-print detailing for that classic Stone Age aesthetic.
• Add some much-needed grit to your Collectible Minifigures lineup.
• Perfect for subverting modern dioramas with a touch of prehistoric defiance.
• High-impact character design with distinct Cenozoic personality.";LEGO Cave Woman Minifigure (col069) - Collectible Minifigures Series 5;Enhance your LEGO Collectible Minifigures lineup with the Cave Woman (col069). This rugged figure brings primal energy and Stone Age style to any display. A must-have for serious collectors looking to add character and grit to their collection. Shop the col069 Cave Woman at Kuso Oishii today and embrace the dawn of humanity in plastic form.;464736d3-8ea2-45a9-9f90-95938d172080;;;;;;;;;;;;;;;;
f916ee2c-64fb-4681-9c2c-96df3ae54b9b;toy001;Toy Story Green Army Man (toy001);;;;;;active;;;;2026-03-07 19:58:01.371884+00;2026-03-08 09:23:04.75951+00;;;;;;;;;;;;;;;;"The ultimate field tactician for your collection.  
No fluff, no fatigue, just pure green precision.";"Stop pretending your shelf is secure without professional reconnaissance. This Toy Story Green Army Man (toy001) isn’t just a minifigure; it is a clinical masterclass in monochrome dominance. Built for the collector who respects the tactical simplicity of a classic, this soldier brings a rigid, unwavering focus to any display. Whether he is scouting the perimeter of your desk or holding the line against less disciplined sets, he commands respect through sheer, unadulterated green. He does not need a flashy cape or a licensed smile to justify his presence. He simply exists to remind you that in a world of over-designed chaos, there is still immense power in a single, perfectly cast shade of olive. It is time to add some much-needed discipline to your ranks.";Enlist this plastic legend today.;"• Authentic Toy Story (toy001) minifigure design.
• Distinctive all-over monochrome green aesthetic.
• Includes integrated stand for tactical stability.
• Essential personnel for Pixar and Toy Story purists.";LEGO Toy Story Green Army Man Minifigure toy001 | Kuso Oishii;Secure the perimeter with the LEGO Toy Story Green Army Man (toy001) minifigure. A monochrome masterpiece for serious Pixar collectors and Toy Story fans. High-quality discipline for your shelf.;464736d3-8ea2-45a9-9f90-95938d172080;;;;;;;;;;;;;;;;
65296feb-cdf1-4977-8aa4-4d96213fc0d0;col068;Ice Fisherman;Light;;;;;active;;;;2026-03-07 16:01:39.439967+00;2026-03-09 01:02:42.799118+00;;;;;;;;;;;;;;;;"While you're shivering by the radiator, this legendary stoic is actually catching dinner.
The coldest bastard in the Series 5 lineup.";"There is a specific kind of madness required to sit on a frozen lake waiting for a nibble, and the Series 5 Ice Fisherman has it in spades. This isn't just a minifigure; it is an icy testament to patience, grit, and the refusal to admit you're cold. Dressed in a heavy-duty parka that suggests he has seen things no man should see above the Arctic Circle, he stands as the quiet MVP of the CMF line-up. Whether he is patrolling your winter village or finally catching that elusive silver fish during a late-night shelf display session, his presence brings a sharp, crisp edge to your collection. He knows the ice is thin, he knows the wind is biting, and quite frankly, he doesn't give a damn. Grab him before the thaw sets in.";Snag this sub-zero specialist before he skates off for good.;"• Classic Series 5 (8805) collectability.
• Includes the essential silver fish accessory.
• Detailed cold-weather parka printing.";LEGO Ice Fisherman Minifigure col068 - Series 5 CMF | Kuso Oishii;Add the LEGO Series 5 Ice Fisherman (col068) to your collection. This iconic Collectable Minifigure features authentic winter gear and a silver fish accessory. Perfect for Winter Village displays or CMF collectors. Secure this retired Series 5 legend today at Kuso Oishii.;464736d3-8ea2-45a9-9f90-95938d172080;LEGO;Minifig;2026-03-09 01:02:42.799118+00;;;;;;;;;;;;;
f19c2ca5-dcd8-43ea-9bb4-3fe7d8630b1d;col070;Lizard Man;Light;;;;;retired;;;;2026-03-07 16:01:48.495825+00;2026-03-09 01:03:20.205477+00;;;;;;;;;;;;;;;;"Godzilla called; he wants his dignity back.
The Lizard Man is here to wreck your micro-skyline.";"Stop pretending you aren't a sucker for a man in a rubber suit. The Lizard Man is a glorious love letter to the era of guys in oversized prosthetics trashing cardboard cities, and frankly, your shelf is looking a bit too sane without him. This isn't just another minifigure; it is a masterclass in nostalgic absurdity, complete with that unmistakable 'costume' aesthetic that balances menace with high-camp charm. Whether he is terrorising a microscale metropolis or standing as the eccentric centerpiece of your Series 5 collection, he demands attention. He is green, he is scaly, and he is arguably the most charismatic creature to ever emerge from the CMF line. Own the legend of the green suit and let the scale-model carnage begin.";Secure this cold-blooded icon before he retreats to the undergrowth forever.;"• Includes the iconic one-piece lizard suit headgear and tail attachment.
• Part of the legendary Collectible Minifigures Series 5 lineup.
• Features the classic 'man-in-suit' aesthetic for ultimate display charm.";LEGO Lizard Man Minifigure col070 - Series 5 Collectible | Kuso Oishii;Add the iconic LEGO Lizard Man (col070) from Series 5 to your collection. This legendary green-suited minifigure is a must-have for CMF collectors and fans of classic monster cinema. Get yours at Kuso Oishii.;464736d3-8ea2-45a9-9f90-95938d172080;LEGO;Minifig;2026-03-09 01:03:20.205477+00;;;0;;;;;;;;;;
825ff828-d7c0-4496-8cfc-77ff1bf5ee43;77073-1;Battle Bus;Fortnite;;954;89.99;2024;active;;;;2026-03-07 16:03:44.667999+00;2026-03-10 01:00:21.490296+00;2024-10-01;;;78.99;63.19;51.34;39.49;;;;;;;;Erik Jensen;The ultimate drop is finally here. Stop thanking the bus driver and start owning the bus.;"You have spent hundreds of hours jumping out of this blue beast; it is time you actually owned the damn thing. This isn't some flimsy digital asset—Erik Jensen’s brick-built rendition of the iconic 77073-1 Battle Bus is a masterclass in translating chaotic gaming energy into physical shelf presence. With its signature hot air balloon and slap-dash engineering, this set captures the exact moment the adrenaline hits before you hit the ground. It is crowded, colourful, and loud, packed with an absurd roster of nine legendary outfits that look just as lethal on your desk as they do in the lobby. Whether you are a sweat or a casual, this is the ultimate trophy for those who survived the storm. Stop waiting for the circle to close and put the definitive piece of Fortnite history in your collection.";Secure your drop point and claim the Battle Bus tonight.;"• Features a massive lineup of nine iconic minifigures including Meowsculls, Brite Bomber, and Raven.
• Authentic design by Erik Jensen capturing the signature blue bus and yellow balloon aesthetic.
• Includes essential in-game accessories like the Slurp Juice, Grappler, and Pickaxes.
• Detailed interior and removable roof for full access to the squad’s pre-game chaos.";LEGO Fortnite Battle Bus 77073 | 9 Minifigures & 954 Pieces | Kuso Oishii;Drop into the action with the LEGO Fortnite Battle Bus 77073. Featuring 954 pieces and 9 exclusive minifigures like Meowsculls and Raven, this 2024 release is the must-have display piece for any serious collector. Build the iconic hot air balloon transport and bring the Battle Royale to your shelf. Shop the definitive LEGO Fortnite set at Kuso Oishii now.;464736d3-8ea2-45a9-9f90-95938d172080;LEGO;Set;2026-03-10 01:00:21.490296+00;673419390705;5702017591018;9;;;;;;;;;;
9247506d-9657-4234-a817-f6af68a5f3ab;cty0509;Arctic Scout (cty0509);;;;;;active;;;;2026-03-07 19:57:15.355237+00;2026-03-08 09:18:10.567926+00;;;;;;;;;;;;;;;;"The ultimate specialist for when the world turns white.
Frostbite is just a distraction.";"Survival isn’t just a skill in the frozen wastes; it’s an aesthetic. The Arctic Scout (cty0509) represents that razor-sharp intersection of utility and absolute isolation. While the rest of the world debates what to have for dinner, this figure is staring down a whiteout with nothing but a hood and a mission. There is a quiet, menacing competence in the design of the City Arctic subtheme that resonates with collectors who appreciate the darker side of exploration. Whether he’s a scout for a corporate geological dig or a lone operative in the tundra, his presence on your shelf says you understand that some of the most dangerous stories happen at sub-zero temperatures. He doesn’t need a team; he just needs clear skies and a reason to keep moving. Build your permafrost ranks with a specialist who actually looks the part.";Secure this cold-blooded legend today.;"• Authentic City Arctic subtheme specialist (cty0509)
• Durable design for extreme display environments
• Essential personnel for cold-weather dioramas";LEGO Arctic Scout Minifigure cty0509 - City Arctic Collection Specialist;Build your frozen empire with the LEGO Arctic Scout minifigure cty0509. A sharp, durable addition to any serious City Arctic collection. Perfect for collectors who demand professional-grade specialists for their tundra displays. Highly detailed gear and cold-weather aesthetic make this a standout operative for your display shelf. Get yours before the frost settles.;464736d3-8ea2-45a9-9f90-95938d172080;;;;;;;;;;;;;;;;
f3b47133-b827-46f2-b0d9-cf9a8ac4e504;sim008;Bart Simpson;The Simpsons;;;;;active;;;;2026-03-07 16:01:42.971698+00;2026-03-09 01:03:11.156311+00;;;;;;;;;;;;;;;;"The Spike-Haired Menace of Springfield.
Eat my shorts, or just put me on your shelf.";"Stop pretending you are above a bit of low-brow delinquency. This is the definitive plastic incarnation of Springfield’s most notorious underachiever, complete with that iconic perma-smirk and the kind of attitude that makes headmasters weep. Whether he is terrorising your modular street or standing defiant on your desk, sim008 captures the exact moment a generational icon became a shelf-stable menace. He is short, yellow, and carries more cultural weight than most statues ten times his size. You aren't just buying a minifigure; you are securing a piece of Sunday night ritual and a reminder that some rules were meant to be ignored. Don't leave him hanging—he is far too much trouble to be left alone in our warehouse for long.";Add the original brat to your display before he skates off.;"• Official LEGO The Simpsons Series 1 minifigure design.
• Features the classic short-sleeve orange shirt and blue shorts.
• Includes the custom-moulded head unique to the 2014 collection.";LEGO Bart Simpson Minifigure sim008 | The Simpsons Collectables;Shop the LEGO Bart Simpson minifigure (sim008) from The Simpsons Series. This authentic Bart minifigure features his signature orange shirt and custom moulded head. Perfect for collectors of The Simpsons LEGO sets and rare minifigures. Buy now at Kuso Oishii for fast shipping and specialist collector service. Active retirement status ensures a fresh addition to your collection.;464736d3-8ea2-45a9-9f90-95938d172080;LEGO;Minifig;2026-03-09 01:03:11.156311+00;;;;;;;;;;;;;
8cec7173-03b7-4ea5-8854-8de1d2411272;col062;Artist (col062);;;;;;active;;;;2026-03-07 19:57:15.547563+00;2026-03-08 09:18:15.72179+00;;;;;;;;;;;;;;;;"Stop pretending your collection has depth. 
The Artist is here to judge your lack of taste.";"Being a starving artist is a romantic notion until you’ve spent three days eating nothing but instant noodles in a cold studio. This LEGO Minifigures Series 4 icon has moved past the struggle, trade-marking that quintessential Parisian aesthetic with a beret and a smock that’s seen better days. He’s not here to paint a bowl of fruit or your dog; he’s here to capture the existential dread of the modern era on a tiny 2x2 canvas. Whether he’s a misunderstood genius or a pretentious hack is entirely up to your display narrative. He brings a much-needed layer of sophistication and paint-splattered chaos to any collection, proving that true art isn't just about the strokes—it's about the attitude. Own a piece of plastic history that looks down on everything else you own.";Add some culture to your shelf today.;"• Features the iconic Series 4 beret and smock combo.
• Includes the classic 2x2 printed landscape canvas tile.
• Equipped with the essential paintbrush accessory.";LEGO Artist Minifigure col062 - Series 4 Collector Edition;Shop the LEGO Series 4 Artist (col062) minifigure at Kuso Oishii. Featuring his signature beret, paint-splattered smock, and landscape canvas, this Series 4 classic is the ultimate addition for serious collectors seeking sophisticated character design. Authentic LEGO Minifigures Series 4 col062 for sale with worldwide shipping.;464736d3-8ea2-45a9-9f90-95938d172080;;;;;;;;;;;;;;;;
